"Ecosystem","American Kestrel","American Robin","American Tree Sparrow","Ash-throated Flycatcher","Bank Swallow","Barn Swallow","Bendire's Thrasher","Bewick's Wren","Black-capped Chickadee","Black-chinned Hummingbird","Black-headed Grosbeak","Black-throated Gray Warbler","Black-throated Sparrow","Blackburnian Warbler","Blue Grosbeak","Blue-gray Gnatcatcher","Brewer's Sparrow","Broad-tailed Hummingbird","Brown Thrasher","Brown-headed Cowbird","Bullock's Oriole","Burrowing Owl","Bushtit","Cactus Wren","Canyon Towhee","Cassin's Kingbird","Cassin's Sparrow","Chestnut-collared Longspur","Chihuahuan Meadowlark","Chihuahuan Raven","Chipping Sparrow","Cliff Swallow","Common Nighthawk","Common Poorwill","Common Raven","Cooper's Hawk","Cordilleron Flycatcher ","Crissal Thrasher","Curve-billed Thrasher","Dark-eyed Junco","Eastern Bluebird ","Empidonax spp.","Ferruginous Hawk","Gambel's Quail","Golden Eagle","Gray Flycatcher","Gray Vireo","Great Horned Owl","Greater Roadrunner","Greater Yellowlegs","Green-tailed Towhee","Hairy Woodpecker ","Hepatic Tanager","Hermit Thrush","Horned Lark","House Finch","House Wren","Hummingbird spp.","Juniper Titmouse","Ladder-backed Woodpecker","Lark Bunting","Lark Sparrow","Lesser Goldfinch","Lesser Nighthawk","Loggerhead Shrike","Long-earred owl","MacGillivray's Warbler","Mountain Bluebird","Mountain Chickadee","Mourning Dove","Northern Flicker","Northern Goshawk","Northern Harrier","Northern Mockingbird","Northern Rough-winged Swallow","Olive-sided Flycatcher","Orange-crowned Warbler ","Pine Siskin","Pinyon Jay","Prairie Falcon","Pygmy Nuthatch","Red-breasted Nuthatch","Red-tailed Hawk","Rock Wren","Ruby-crowned Kinglet","Rufous Hummingbird","Sage Thrasher","Sagebrush Sparrow","Savannah Sparrow","Say's Phoebe","Scaled Quail","Scott's Oriole","Sharp-shinned Hawk","Snow Goose","Solitary Vireo","Song Sparrow","Sparrow Sp. ","Spotted Towhee","Summer Tanager","Swainson's Hawk","Thick-billed Longspur","Townsend's Solitaire","Townsend's Warbler","Turkey Vulture","Verdin","Vesper Sparrow","Violet-green Swallow","Virginia's Warbler","Warbling Vireo","Western Bluebird","Western Kingbird","Western Meadowlark","Western Tanager","Western Wood-Peewee","White-breasted Nuthatch","White-crowned Sparrow","White-winged Dove","Willow Flycatcher","Wilson's Warbler","Woodhouse's Scrub-Jay","Woodpecker spp.","Yellow-headed Blackbird","Yellow-rumped Warbler"
"Desert grassland",6,0,0,0,1,0,4,0,0,0,0,0,0,1,0,0,15,3,0,0,0,9,0,10,0,0,61,571,676,8,0,0,0,0,30,0,0,0,1,0,0,0,2,0,1,0,0,0,1,0,0,0,0,0,1280,1,0,1,0,0,55,2,0,0,126,0,1,0,0,65,0,0,10,17,2,0,0,0,0,1,0,0,5,1,0,0,5,21,1,0,17,0,0,0,0,0,0,0,0,5,69,0,0,0,0,198,6,0,0,0,6,38,0,0,0,0,3,0,0,0,0,0,0
"Desert shrubland",2,0,1,41,0,0,1,0,0,3,0,0,949,0,2,26,364,3,0,15,0,0,15,2,0,1,21,113,86,0,35,2,21,0,40,0,0,1,0,0,0,0,0,1,0,0,0,0,8,0,0,0,0,0,251,102,0,1,0,0,62,5,0,3,47,0,4,8,0,145,0,0,2,31,0,1,0,0,3,3,0,0,1,15,0,0,2,283,0,11,91,0,0,0,0,1,0,0,1,1,32,0,0,0,0,37,4,4,0,0,7,14,0,0,0,4,0,0,10,3,0,0,0
"Pinyon woodland",1,405,0,83,0,0,8,193,39,1,43,1,79,0,0,27,0,18,1,38,4,0,308,0,25,46,0,0,0,0,168,0,16,1,83,2,1,8,3,790,10,2,1,36,0,6,39,3,0,0,5,1,4,2,0,301,10,3,277,79,0,10,28,0,0,1,5,170,38,174,65,0,0,216,1,7,0,52,505,0,6,14,6,4,8,1,39,0,7,7,10,9,1,0,1,0,0,322,0,3,0,176,26,0,3,0,46,5,1,58,3,0,13,2,6,5,6,0,9,514,1,0,16
